index,season,daynum,wteam,wscore,lteam,lscore,wloc,numot,pts,st,blks,fg,rpiRank
1849,2014,134,1107,71,1291,64,N,0,-327.0,-1.5,0.0,-0.25,-9.0
1850,2014,134,1301,74,1462,59,N,0,24.0,-1.0,1.0,-1.25,-1.0
1851,2014,135,1142,81,1411,69,N,0,-542.0,1.0,-1.0,-5.5,-38.0
1852,2014,135,1397,78,1234,65,N,1,-368.0,-2.0,-0.5,-2.25,-18.0
1853,2014,136,1163,89,1386,81,N,1,91.0,2.5,1.5,-2.0,-9.0
1854,2014,136,1173,60,1326,59,N,0,49.0,-1.5,-2.0,1.75,16.0
1855,2014,136,1196,67,1107,55,N,0,292.0,1.5,0.0,2.25,-207.0
1856,2014,136,1217,61,1153,57,N,0,-138.0,-0.5,-0.5,4.0,33.0
1857,2014,136,1257,71,1264,64,N,0,316.0,1.5,-1.5,2.25,-47.0
1858,2014,136,1276,57,1459,40,N,0,558.0,-1.0,1.0,3.75,-162.0
1859,2014,136,1277,93,1174,78,N,0,-122.0,1.0,1.5,2.75,-69.0
1860,2014,136,1295,80,1328,75,N,1,-536.0,-1.0,1.0,5.25,22.0
1861,2014,136,1332,87,1140,68,N,0,-160.0,1.0,0.5,-0.0,-10.0
1862,2014,136,1338,77,1160,48,N,0,55.0,1.0,-0.5,2.5,-1.0
1863,2014,136,1361,73,1308,69,N,1,-487.0,3.0,-1.0,-6.25,-68.0
1864,2014,136,1387,83,1301,80,N,1,-235.0,2.5,0.0,-1.5,-26.0
1865,2014,136,1393,77,1444,53,N,0,-56.0,2.5,1.5,-3.0,-63.0
1866,2014,136,1400,87,1113,85,N,0,45.0,1.0,0.5,-2.0,-11.0
1867,2014,136,1437,73,1454,53,N,0,190.0,1.5,1.5,3.0,-141.0
1868,2014,136,1458,75,1110,35,N,0,381.0,-1.0,0.0,-3.75,-136.0
1869,2014,137,1112,68,1451,59,N,0,471.0,2.0,0.0,-0.5,-160.0
1870,2014,137,1124,74,1304,60,N,0,358.0,-2.0,2.5,2.0,-20.0
1871,2014,137,1166,76,1418,66,N,0,150.0,-3.0,-2.5,4.0,-91.0
1872,2014,137,1211,85,1329,77,N,0,-149.0,-1.0,-1.0,2.5,-14.0
1873,2014,137,1235,93,1300,75,N,0,496.0,-1.5,-1.0,1.75,-111.0
1874,2014,137,1242,80,1184,69,N,0,228.0,-2.0,4.0,1.0,-108.0
1875,2014,137,1246,56,1243,49,N,0,350.0,-1.0,3.0,1.5,-28.0
1876,2014,137,1272,71,1203,66,N,0,33.0,1.5,1.0,1.25,-1.0
1877,2014,137,1273,78,1181,71,N,0,-281.0,-1.0,1.0,0.25,88.0
1878,2014,137,1314,79,1344,77,N,0,-47.0,2.0,0.0,3.75,-12.0
1879,2014,137,1372,77,1433,75,N,1,-198.0,-4.0,-1.5,4.25,41.0
1880,2014,137,1390,58,1307,53,N,0,-37.0,0.0,-1.0,0.5,25.0
1881,2014,137,1397,86,1269,67,N,0,-179.0,-2.0,-1.0,-1.75,15.0
1882,2014,137,1417,76,1409,59,N,0,370.0,2.5,-1.0,4.75,-59.0
1883,2014,137,1438,70,1157,59,N,0,126.0,-0.5,1.0,2.25,-179.0
1884,2014,137,1455,64,1142,37,N,0,613.0,1.5,2.5,5.25,-215.0
1885,2014,138,1163,77,1437,65,N,0,-70.0,0.0,2.0,-1.0,15.0
1886,2014,138,1173,55,1393,53,N,0,241.0,-2.0,-2.5,3.0,24.0
1887,2014,138,1196,61,1338,45,N,0,-59.0,0.0,0.0,0.0,-30.0
1888,2014,138,1257,66,1387,51,N,0,620.0,2.5,0.5,3.0,-6.0
1889,2014,138,1276,79,1400,65,N,0,9.0,-1.0,-3.5,4.5,-25.0
1890,2014,138,1277,80,1217,73,N,0,452.0,-0.5,0.0,0.75,-40.0
1891,2014,138,1361,63,1295,44,N,0,26.0,1.5,0.5,-7.75,-28.0
1892,2014,138,1458,85,1332,77,N,0,-192.0,-3.0,0.0,-1.0,-21.0
1893,2014,139,1112,84,1211,61,N,0,-18.0,-0.5,0.0,-2.25,-26.0
1894,2014,139,1124,85,1166,55,N,0,-190.0,1.0,4.0,-5.0,18.0
1895,2014,139,1235,85,1314,83,N,0,293.0,-1.5,-2.0,0.75,-18.0
1896,2014,139,1246,78,1455,76,N,0,108.0,-2.0,1.0,-0.5,12.0
1897,2014,139,1390,60,1242,57,N,0,-201.0,-1.0,-1.5,-3.0,34.0
1898,2014,139,1397,83,1273,63,N,0,-137.0,-1.0,0.5,-2.5,-56.0
1899,2014,139,1417,77,1372,60,N,0,431.0,2.5,0.0,2.75,-45.0
1900,2014,139,1438,78,1272,60,N,0,-140.0,-3.0,-1.0,-2.25,-26.0
1901,2014,143,1112,70,1361,64,N,0,365.0,-1.5,-1.0,4.25,-15.0
1902,2014,143,1173,82,1390,72,N,0,-4.0,1.0,-1.5,0.25,1.0
1903,2014,143,1196,79,1417,68,N,0,-377.0,-2.5,0.0,-2.75,-14.0
1904,2014,143,1458,69,1124,52,N,0,-8.0,0.0,-2.0,1.0,-24.0
1905,2014,144,1163,81,1235,76,N,0,-292.0,1.0,3.0,-2.25,12.0
1906,2014,144,1246,74,1257,69,N,0,-211.0,-5.0,1.5,-2.25,-2.0
1907,2014,144,1276,73,1397,71,N,0,199.0,0.0,-2.0,3.25,-30.0
1908,2014,144,1277,61,1438,59,N,0,340.0,1.5,1.0,2.25,6.0
1909,2014,145,1196,62,1173,52,N,0,-17.0,1.0,0.5,-0.5,-37.0
1910,2014,145,1458,64,1112,63,N,1,-57.0,-1.0,-0.5,-1.0,3.0
1911,2014,146,1163,60,1277,54,N,0,-139.0,0.0,1.0,-2.75,8.0
1912,2014,146,1246,75,1276,72,N,0,126.0,0.0,3.5,-2.5,6.0
1913,2014,152,1163,63,1196,53,N,0,38.0,0.0,3.0,-1.25,20.0
1914,2014,152,1246,74,1458,73,N,0,154.0,0.0,2.5,-0.75,11.0
1915,2014,154,1163,60,1246,54,N,0,-138.0,2.0,0.0,-0.25,5.0
